time	V(out)	I(R1)
Step Information: Index=2  (Run: 2/5)
3.412399999999970e-004	-6.469848e-001	-4.060304e-005
3.422399999999969e-004	-6.470329e-001	-4.059342e-005
3.442399999999967e-004	-6.471030e-001	-4.057941e-005
3.462399999999966e-004	-6.471485e-001	-4.057030e-005
3.492399999999963e-004	-6.471887e-001	-4.056227e-005
3.542399999999959e-004	-6.472178e-001	-4.055644e-005
3.652399999999950e-004	-6.472315e-001	-4.055371e-005
4.000000000000002e-004	-6.472328e-001	-4.055343e-005
4.001000000000002e-004	-6.436205e-001	-7.275897e-006
4.003000000000001e-004	-6.298552e-001	5.797103e-005
4.006000000000001e-004	-5.909179e-001	1.521836e-004
4.009999999999999e-004	-5.168723e-001	2.733745e-004
4.012799999999997e-004	-4.495583e-001	2.599117e-004
4.015999999999996e-004	-3.783839e-001	2.456768e-004
4.022399999999992e-004	-2.507342e-001	2.201468e-004
4.032399999999992e-004	-7.971317e-002	1.859426e-004
4.042399999999991e-004	6.136353e-002	1.577273e-004
4.052399999999990e-004	1.750618e-001	1.349876e-004
4.062399999999989e-004	2.666949e-001	1.166610e-004
4.072399999999988e-004	3.405450e-001	1.018910e-004
4.082399999999987e-004	4.000632e-001	8.998736e-005
4.092399999999987e-004	4.480308e-001	8.039384e-005
4.102399999999986e-004	4.866895e-001	7.266211e-005
4.112399999999985e-004	5.178457e-001	6.643085e-005
4.122399999999984e-004	5.429556e-001	6.140888e-005
4.132399999999983e-004	5.631924e-001	5.736151e-005
4.142399999999982e-004	5.795020e-001	5.409961e-005
4.152399999999982e-004	5.926464e-001	5.147074e-005
4.162399999999981e-004	6.032398e-001	4.935204e-005
4.172399999999980e-004	6.117774e-001	4.764452e-005
4.182399999999979e-004	6.186582e-001	4.626837e-005
4.192399999999978e-004	6.242036e-001	4.515928e-005
4.202399999999977e-004	6.286728e-001	4.426544e-005
4.212399999999976e-004	6.322747e-001	4.354506e-005
4.222399999999976e-004	6.351776e-001	4.296448e-005
4.232399999999975e-004	6.375171e-001	4.249657e-005
4.242399999999974e-004	6.394026e-001	4.211947e-005
4.252399999999973e-004	6.409222e-001	4.181555e-005
4.262399999999972e-004	6.421469e-001	4.157062e-005
4.272399999999971e-004	6.431339e-001	4.137322e-005
4.282399999999971e-004	6.439294e-001	4.121412e-005
4.292399999999970e-004	6.445705e-001	4.108591e-005
4.302399999999969e-004	6.450871e-001	4.098257e-005
4.312399999999968e-004	6.455036e-001	4.089929e-005
4.322399999999967e-004	6.458392e-001	4.083217e-005
4.332399999999966e-004	6.461096e-001	4.077808e-005
4.342399999999966e-004	6.463276e-001	4.073448e-005
4.352399999999965e-004	6.465033e-001	4.069935e-005
4.362399999999964e-004	6.466448e-001	4.067103e-005
4.372399999999963e-004	6.467590e-001	4.064821e-005
4.382399999999962e-004	6.468509e-001	4.062982e-005
4.392399999999961e-004	6.469250e-001	4.061499e-005
4.402399999999960e-004	6.469848e-001	4.060304e-005
4.412399999999960e-004	6.470329e-001	4.059342e-005
4.432399999999958e-004	6.471030e-001	4.057941e-005
4.452399999999956e-004	6.471485e-001	4.057030e-005
4.482399999999954e-004	6.471887e-001	4.056227e-005
4.532399999999950e-004	6.472178e-001	4.055644e-005
4.642399999999940e-004	6.472315e-001	4.055371e-005
5.009999999999999e-004	6.472328e-001	4.055343e-005
5.011000000000000e-004	6.436205e-001	7.275897e-006
5.012999999999999e-004	6.298552e-001	-5.797103e-005
5.015999999999998e-004	5.909179e-001	-1.521836e-004
5.020000000000001e-004	5.168723e-001	-2.733745e-004
5.022799999999999e-004	4.495583e-001	-2.599117e-004
5.026000000000000e-004	3.783839e-001	-2.456768e-004
5.032400000000001e-004	2.507342e-001	-2.201468e-004
5.042400000000000e-004	7.971317e-002	-1.859426e-004
5.052399999999999e-004	-6.136353e-002	-1.577273e-004
5.062399999999998e-004	-1.750618e-001	-1.349876e-004
5.072399999999997e-004	-2.666949e-001	-1.166610e-004
5.082399999999997e-004	-3.405450e-001	-1.018910e-004
5.092399999999996e-004	-4.000632e-001	-8.998736e-005
5.102399999999995e-004	-4.480308e-001	-8.039384e-005
5.112399999999994e-004	-4.866895e-001	-7.266211e-005
5.122399999999993e-004	-5.178457e-001	-6.643085e-005
5.132399999999992e-004	-5.429556e-001	-6.140888e-005
5.142399999999991e-004	-5.631924e-001	-5.736151e-005
5.152399999999991e-004	-5.795020e-001	-5.409961e-005
5.162399999999990e-004	-5.926464e-001	-5.147074e-005
5.172399999999989e-004	-6.032398e-001	-4.935204e-005
5.182399999999988e-004	-6.117774e-001	-4.764452e-005
5.192399999999987e-004	-6.186582e-001	-4.626837e-005
5.202399999999986e-004	-6.242036e-001	-4.515928e-005
5.212399999999986e-004	-6.286728e-001	-4.426544e-005
5.222399999999985e-004	-6.322747e-001	-4.354506e-005
5.232399999999984e-004	-6.351776e-001	-4.296448e-005
5.242399999999983e-004	-6.375171e-001	-4.249657e-005
5.252399999999982e-004	-6.394026e-001	-4.211947e-005
5.262399999999981e-004	-6.409222e-001	-4.181555e-005
5.272399999999981e-004	-6.421469e-001	-4.157062e-005
5.282399999999980e-004	-6.431339e-001	-4.137322e-005
5.292399999999979e-004	-6.439294e-001	-4.121412e-005
5.302399999999978e-004	-6.445705e-001	-4.108591e-005
5.312399999999977e-004	-6.450871e-001	-4.098257e-005
5.322399999999976e-004	-6.455036e-001	-4.089929e-005
5.332399999999975e-004	-6.458392e-001	-4.083217e-005
5.342399999999975e-004	-6.461096e-001	-4.077808e-005
5.352399999999974e-004	-6.463276e-001	-4.073448e-005
5.362399999999973e-004	-6.465033e-001	-4.069935e-005
5.372399999999972e-004	-6.466448e-001	-4.067103e-005
5.382399999999971e-004	-6.467590e-001	-4.064821e-005
5.392399999999970e-004	-6.468509e-001	-4.062982e-005
5.402399999999970e-004	-6.469250e-001	-4.061499e-005
5.412399999999969e-004	-6.469848e-001	-4.060304e-005
5.422399999999968e-004	-6.470329e-001	-4.059342e-005
5.442399999999966e-004	-6.471030e-001	-4.057941e-005
5.462399999999965e-004	-6.471485e-001	-4.057030e-005
5.492399999999962e-004	-6.471887e-001	-4.056227e-005
5.542399999999958e-004	-6.472178e-001	-4.055644e-005
5.562399999999956e-004	-6.472231e-001	-4.055538e-005
5.732399999999942e-004	-6.472326e-001	-4.055348e-005
6.000000000000001e-004	-6.472328e-001	-4.055343e-005
6.001000000000001e-004	-6.436205e-001	-7.275897e-006
6.003000000000000e-004	-6.298552e-001	5.797103e-005
6.006000000000000e-004	-5.909179e-001	1.521836e-004
6.010000000000000e-004	-5.168723e-001	2.733745e-004
6.012799999999998e-004	-4.495583e-001	2.599117e-004
6.015999999999999e-004	-3.783839e-001	2.456768e-004
6.022400000000000e-004	-2.507342e-001	2.201468e-004
6.032399999999999e-004	-7.971317e-002	1.859426e-004
6.042399999999998e-004	6.136353e-002	1.577273e-004
6.052399999999997e-004	1.750618e-001	1.349876e-004
6.062399999999996e-004	2.666949e-001	1.166610e-004
6.072399999999996e-004	3.405450e-001	1.018910e-004
6.082399999999995e-004	4.000632e-001	8.998736e-005
6.092399999999994e-004	4.480308e-001	8.039384e-005
6.102399999999993e-004	4.866895e-001	7.266211e-005
6.112399999999992e-004	5.178457e-001	6.643085e-005
6.122399999999991e-004	5.429556e-001	6.140888e-005
6.132399999999991e-004	5.631924e-001	5.736151e-005
6.142399999999990e-004	5.795020e-001	5.409961e-005
6.152399999999989e-004	5.926464e-001	5.147074e-005
6.162399999999988e-004	6.032398e-001	4.935204e-005
6.172399999999987e-004	6.117774e-001	4.764452e-005
6.182399999999986e-004	6.186582e-001	4.626837e-005
6.192399999999986e-004	6.242036e-001	4.515928e-005
6.202399999999985e-004	6.286728e-001	4.426544e-005
