time	V(out)
Step Information: Index=2  (Run: 2/5)
4.302399999999969e-004	1.517852e-001
4.312399999999968e-004	1.518832e-001
4.322399999999967e-004	1.519622e-001
4.332399999999966e-004	1.520258e-001
4.342399999999966e-004	1.520771e-001
4.362399999999964e-004	1.521517e-001
4.382399999999962e-004	1.522002e-001
4.412399999999960e-004	1.522430e-001
4.452399999999956e-004	1.522702e-001
4.532399999999950e-004	1.522865e-001
5.009999999999999e-004	1.522901e-001
5.011000000000000e-004	1.514401e-001
5.012999999999999e-004	1.482012e-001
5.015999999999998e-004	1.390395e-001
5.020000000000001e-004	1.216170e-001
5.022799999999999e-004	1.057784e-001
5.026000000000000e-004	8.903150e-002
5.032400000000001e-004	5.899629e-002
5.042400000000000e-004	1.875604e-002
5.052399999999999e-004	-1.443848e-002
5.062399999999998e-004	-4.119101e-002
5.072399999999997e-004	-6.275175e-002
5.082399999999997e-004	-8.012824e-002
5.092399999999996e-004	-9.413251e-002
5.102399999999995e-004	-1.054190e-001
5.112399999999994e-004	-1.145152e-001
5.122399999999993e-004	-1.218461e-001
5.132399999999992e-004	-1.277543e-001
5.142399999999991e-004	-1.325159e-001
5.152399999999991e-004	-1.363534e-001
5.162399999999990e-004	-1.394462e-001
5.172399999999989e-004	-1.419388e-001
5.182399999999988e-004	-1.439476e-001
5.192399999999987e-004	-1.455666e-001
5.202399999999986e-004	-1.468714e-001
5.212399999999986e-004	-1.479230e-001
5.222399999999985e-004	-1.487705e-001
5.232399999999984e-004	-1.494536e-001
5.242399999999983e-004	-1.500040e-001
5.252399999999982e-004	-1.504477e-001
5.262399999999981e-004	-1.508052e-001
5.272399999999981e-004	-1.510934e-001
5.282399999999980e-004	-1.513256e-001
5.292399999999979e-004	-1.515128e-001
5.302399999999978e-004	-1.516636e-001
5.312399999999977e-004	-1.517852e-001
5.322399999999976e-004	-1.518832e-001
5.332399999999975e-004	-1.519622e-001
5.342399999999975e-004	-1.520258e-001
5.352399999999974e-004	-1.520771e-001
5.372399999999972e-004	-1.521517e-001
5.392399999999970e-004	-1.522002e-001
5.422399999999968e-004	-1.522430e-001
5.462399999999965e-004	-1.522702e-001
5.542399999999958e-004	-1.522865e-001
5.562399999999956e-004	-1.522878e-001
6.000000000000001e-004	-1.522901e-001
6.001000000000001e-004	-1.514401e-001
6.003000000000000e-004	-1.482012e-001
6.006000000000000e-004	-1.390395e-001
6.010000000000000e-004	-1.216170e-001
6.012799999999998e-004	-1.057784e-001
6.015999999999999e-004	-8.903150e-002
6.022400000000000e-004	-5.899629e-002
6.032399999999999e-004	-1.875604e-002
6.042399999999998e-004	1.443848e-002
6.052399999999997e-004	4.119101e-002
6.062399999999996e-004	6.275175e-002
6.072399999999996e-004	8.012824e-002
6.082399999999995e-004	9.413251e-002
6.092399999999994e-004	1.054190e-001
6.102399999999993e-004	1.145152e-001
6.112399999999992e-004	1.218461e-001
6.122399999999991e-004	1.277543e-001
6.132399999999991e-004	1.325159e-001
6.142399999999990e-004	1.363534e-001
6.152399999999989e-004	1.394462e-001
6.162399999999988e-004	1.419388e-001
6.172399999999987e-004	1.439476e-001
6.182399999999986e-004	1.455666e-001
6.192399999999986e-004	1.468714e-001
6.202399999999985e-004	1.479230e-001
6.212399999999984e-004	1.487705e-001
6.222399999999983e-004	1.494536e-001
6.232399999999982e-004	1.500040e-001
6.242399999999981e-004	1.504477e-001
6.252399999999981e-004	1.508052e-001
6.262399999999980e-004	1.510934e-001
6.272399999999979e-004	1.513256e-001
6.282399999999978e-004	1.515128e-001
6.292399999999977e-004	1.516636e-001
6.302399999999976e-004	1.517852e-001
6.312399999999975e-004	1.518832e-001
6.322399999999975e-004	1.519622e-001
6.332399999999974e-004	1.520258e-001
6.342399999999973e-004	1.520771e-001
6.362399999999971e-004	1.521517e-001
6.382399999999970e-004	1.522002e-001
6.412399999999967e-004	1.522430e-001
6.452399999999964e-004	1.522702e-001
6.532399999999957e-004	1.522865e-001
7.010000000000000e-004	1.522901e-001
7.011000000000001e-004	1.514401e-001
7.013000000000000e-004	1.482012e-001
7.015999999999999e-004	1.390395e-001
7.020000000000002e-004	1.216170e-001
7.022800000000000e-004	1.057784e-001
7.026000000000001e-004	8.903150e-002
7.032400000000002e-004	5.899629e-002
7.042400000000001e-004	1.875604e-002
7.052400000000000e-004	-1.443848e-002
7.062399999999999e-004	-4.119101e-002
7.072399999999998e-004	-6.275175e-002
7.082399999999997e-004	-8.012824e-002
7.092399999999997e-004	-9.413251e-002
7.102399999999996e-004	-1.054190e-001
7.112399999999995e-004	-1.145152e-001
7.122399999999994e-004	-1.218461e-001
7.132399999999993e-004	-1.277543e-001
7.142399999999992e-004	-1.325159e-001
7.152399999999992e-004	-1.363534e-001
7.162399999999991e-004	-1.394462e-001
7.172399999999990e-004	-1.419388e-001
7.182399999999989e-004	-1.439476e-001
7.192399999999988e-004	-1.455666e-001
7.202399999999987e-004	-1.468714e-001
7.212399999999986e-004	-1.479230e-001
7.222399999999986e-004	-1.487705e-001
7.232399999999985e-004	-1.494536e-001
7.242399999999984e-004	-1.500040e-001
7.252399999999983e-004	-1.504477e-001
7.262399999999982e-004	-1.508052e-001
7.272399999999981e-004	-1.510934e-001
7.282399999999981e-004	-1.513256e-001
7.292399999999980e-004	-1.515128e-001
7.302399999999979e-004	-1.516636e-001
7.312399999999978e-004	-1.517852e-001
7.322399999999977e-004	-1.518832e-001
7.332399999999976e-004	-1.519622e-001
7.342399999999976e-004	-1.520258e-001
7.352399999999975e-004	-1.520771e-001
7.372399999999973e-004	-1.521517e-001
7.392399999999971e-004	-1.522002e-001
7.422399999999969e-004	-1.522430e-001
7.462399999999965e-004	-1.522702e-001
7.542399999999959e-004	-1.522865e-001
8.000000000000002e-004	-1.522901e-001
8.001000000000002e-004	-1.514401e-001
8.003000000000001e-004	-1.482012e-001
8.006000000000001e-004	-1.390395e-001
8.010000000000001e-004	-1.216170e-001
8.012799999999999e-004	-1.057784e-001
8.016000000000000e-004	-8.903150e-002
